"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00240770","1921-09","48.13514","-110.06364","843.7","BIG SANDY, MT US","","","","","","","4",",0","1",",0","0",",0","1",",0","1",",0","0","1,0","14","1,0","","","","","","","","","19210911",",1,0","19210909",",,0","19210909",",,0","","","19210909",",,0","","","-4.4","1,0,11,","51",",,0,09,","51",",,0,09,","10.9",",,0,09,","","","","","","","13.7",",,,0","51",",,,0","","","","","1.26","1,,,0"
"USC00240770","1921-10","48.13514","-110.06364","843.7","BIG SANDY, MT US","","","","","","","1","1,0","1","1,0","0","1,0","0","1,0","0","1,0","0","1,0","23","1,0","","","","","","","","","19211012",",1,0","19211031","+,1,0","19211031","+,1,0","","","19211020",",1,0","","","-5.6","1,0,12,","0","1,,0,31,+","0","1,,0,31,+","5.3","1,,0,20,","","","","","","","5.3","1,,,0","0","1,,,0","","","","","-0.82","1,,,0"
"USC00240770","1921-11","48.13514","-110.06364","843.7","BIG SANDY, MT US","","","","","0.0",",0","4",",0","4",",0","0",",0","0",",0","0",",0","9",",0","29",",0","11",",0","3",",0","0",",0","","","19211117",",,0","19211130","+,,0","19211130","+,,0","","","19211116",",,0","19211105",",,0","-35.6",",0,17,","0",",,0,30,+","0",",,0,30,+","13.5",",,0,16,","25.0",",0,05,","","","690.7",",0","44.0",",,,0","0",",,,0","-4.69",",0","3.57",",,,0","-12.96",",,,0"
"USC00240770","1921-12","48.13514","-110.06364","843.7","BIG SANDY, MT US","","","","","0.0","2,0","0",",0","0",",0","0",",0","0",",0","0",",0","13","1,0","27","1,0","16","1,0","0","1,0","0","1,0","","","19211220","+,1,0","19211231","+,,0","19211231","+,,0","","","19211231","+,,0","19211213",",1,0","-32.8","1,0,20,+","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","12.8","1,0,13,","","","747.5","1,0","0.0",",,,0","0",",,,0","-7.89","2,0","-1.73","1,,,0","-14.05","1,,,0"
"USC00240770","1922-01","48.13514","-110.06364","843.7","BIG SANDY, MT US","","","0.0","","0.0",",0","4",",0","2",",0","0",",0","1",",0","4",",0","18",",0","31",",0","21",",0","0",",0","0",",0","","","19220131",",,0","19220116",",,0","19220128",",,0","","","19220128",",,0","19220110",",,0","-37.8",",0,31,","51",",,0,16,","89",",,0,28,","5.6",",,0,28,","7.2",",0,10,","","","957.6",",0","11.3",",,,0","203",",,,0","-12.56",",0","-4.52",",,,0","-20.59",",,,0"
"USC00240770","1922-02","48.13514","-110.06364","843.7","BIG SANDY, MT US","","","0.0","","0.0","3,0","1",",0","1",",0","0",",0","0",",0","2",",0","25","2,0","26","2,0","22","3,0","0","3,0","0","3,0","","","19220224",",2,0","19220228","+,,0","19220208",",,0","","","19220223",",,0","19220217",",3,0","-39.4","2,0,24,","0",",,0,28,+","58",",,0,08,","11.7",",,0,23,","3.9","3,0,17,","","","921.4","3,0","11.7",",,,0","111",",,,0","-18.59","3,0","-10.07","3,,,0","-27.12","2,,,0"
"USC00240770","1922-03","48.13514","-110.06364","843.7","BIG SANDY, MT US","","","0.0","","0.0","2,0","3",",0","2",",0","0",",0","0",",0","0",",0","5","2,0","29","2,0","7",",0","0",",0","0",",0","","","19220301",",2,0","19220331","+,,0","19220331","+,,0","","","19220317",",,0","19220322",",,0","-30.0","2,0,01,","0",",,0,31,+","0",",,0,31,+","10.2",",,0,17,","14.4",",0,22,","","","668.6",",0","13.5",",,,0","0",",,,0","-4.63","2,0","2.65",",,,0","-11.91","2,,,0"
"USC00240770","1922-04","48.13514","-110.06364","843.7","BIG SANDY, MT US","","","0.0","","0.0","1,0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","20",",0","0","1,0","3","1,0","0","1,0","","","19220417",",,0","19220430","+,,0","19220430","+,,0","","","19220426",",,0","19220422","+,1,0","-6.7",",0,17,","0",",,0,30,+","0",",,0,30,+","8.9",",,0,26,","25.0","1,0,22,+","","","369.7","1,0","26.4",",,,0","0",",,,0","5.62","1,0","12.57","1,,,0","-1.34",",,,0"
"USC00240770","1922-05","48.13514","-110.06364","843.7","BIG SANDY, MT US","","","9.5","","9.5",",0","8",",0","8",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","13",",0","3",",0","","","19220505",",,0","19220531","+,,0","19220531","+,,0","","","19220508",",,0","19220526",",,0","-5.6",",0,05,","0",",,0,31,+","0",",,0,31,+","21.8",",,0,08,","35.0",",0,26,","","","222.2",",0","73.8",",,,0","0",",,,0","11.47",",0","19.76",",,,0","3.18",",,,0"
"USC00240770","1922-06","48.13514","-110.06364","843.7","BIG SANDY, MT US","","","46.4","","36.9",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","2",",0","","","19220610",",,0","19220630","+,,0","19220630","+,,0","","","19220614",",,0","19220622",",,0","3.9",",0,10,","0",",,0,30,+","0",",,0,30,+","10.7",",,0,14,","35.6",",0,22,","","","47.2",",0","28.5",",,,0","0",",,,0","17.99",",0","27.10",",,,0","8.88",",,,0"
