"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00244558","1896-06","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","","","","","","","","","","","18.8",",6","4",",6","1",",6","0",",6","","","","","0",",6","1",",6","0",",6","19",",6","2",",6","","","","","18960611",",,6","","","","","","","18960608",",,6","18960629",",,6","0.0",",6,11,","","","","","4.6",",,6,08,","34.4",",6,29,","","","93.7",",6","8.7",",,,6","","","","","","","","","15.84",",6","24.67",",,,6","7.00",",,,6","","","","","","","","","","","","","","","","","",""
"USC00244558","1896-07","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","","","","","","","","","","","78.3",",6","5",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","29",",6","9",",6","","","","","18960727",",,6","","","","","","","18960706",",,6","18960705",",,6","5.6",",6,27,","","","","","12.2",",,6,06,","37.2",",6,05,","30.4","6","30.4",",6","18.5",",,,6","","","","","","","","","19.88",",6","28.46",",,,6","11.30",",,,6","","","","","","","","","","","","","","","","","",""
"USC00244558","1896-08","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","","","","","","","","","","","11.4","1,6","5",",6","0",",6","0",",6","","","","","0","1,6","1","1,6","0",",6","27",",6","0",",6","","","","","18960804",",1,6","","","","","","","18960817",",,6","18960816",",,6","0.0","1,6,04,","","","","","2.0",",,6,17,","31.1",",6,16,","83.5","6","53.1",",6","4.6",",,,6","","","","","","","","","16.97","1,6","25.33",",,,6","8.62","1,,,6","","","","","","","","","","","","","","","","","",""
"USC00244558","1896-09","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","","","","","","","","","","","0.3","1,6","7",",6","3",",6","1",",6","","","","","0","1,6","6","1,6","0","1,6","10","1,6","0","1,6","","","","","18960927",",1,6","","","","","","","18960901",",,6","18960906",",1,6","-2.2","1,6,27,","","","","","52.1",",,6,01,","28.9","1,6,06,","291.9","6","208.4","1,6","80.2",",,,6","","","","","","","","","11.16","1,6","18.14","1,,,6","4.17","1,,,6","","","","","","","","","","","","","","","","","",""
"USC00244558","1896-12","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","","","","","","","","","","","0.0","4,6","5",",6","2",",6","0",",6","","","1",",6","1","2,6","24","2,6","2","2,6","0","2,6","0","2,6","","","","","18961201",",2,6","","","18961215",",,6","","","18961215",",,6","18961209",",2,6","-20.6","2,6,01,","","","51",",,6,15,","5.1",",,6,15,","13.3","2,6,09,","","","468.5","2,6","13.7",",,,6","","","","","","","51",",,,6","0.42","4,6","4.21","2,,,6","-3.38","2,,,6","","","","","","","","","","","","","","","","","",""
"USC00244558","1897-01","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","","","","","","","","","","","","","7",",6","4",",6","0",",6","","","4",",6","","","","","","","","","","","","","","","","","","","18970129",",,6","","","18970129",",,6","","","","","","","64",",,6,29,","6.4",",,6,29,","","","","","","","19.3",",,,6","","","","","","","165",",,,6","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00244558","1897-02","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","","","","","","","","","","","0.0",",6","4",",6","3",",6","1",",6","","","3",",6","2",",6","28",",6","4",",6","0",",6","0",",6","","","","","18970219",",,6","","","18970211",",,6","","","18970211",",,6","18970204",",,6","-18.9",",6,19,","","","254",",,6,11,","25.4",",,6,11,","6.1",",6,04,","","","588.3",",6","33.7",",,,6","","","","","","","337",",,,6","-2.68",",6","2.36",",,,6","-7.71",",,,6","","","","","","","","","","","","","","","","","",""
"USC00244558","1897-03","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","","","","","","","","","","","0.0","2,6","4",",6","3",",6","0",",6","","","3",",6","4","1,6","29","1,6","8","1,6","0","1,6","0","1,6","","","","","18970313",",1,6","","","18970323","+,,6","","","18970323","+,,6","18970331",",1,6","-23.3","1,6,13,","","","25",",,6,23,+","2.5",",,6,23,+","11.1","1,6,31,","","","640.7","1,6","8.5",",,,6","","","","","","","75",",,,6","-3.80","2,6","1.72","1,,,6","-9.32","1,,,6","","","","","","","","","","","","","","","","","",""
"USC00244558","1897-04","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","","","","","","","","","","","0.0",",6","9",",6","4",",6","0",",6","","","","","0",",6","7",",6","0",",6","7",",6","0",",6","","","","","18970406",",,6","","","","","","","18970423",",,6","18970417",",,6","-2.2",",6,06,","","","","","5.8",",,6,23,","25.0",",6,17,","","","301.9",",6","19.7",",,,6","","","","","","","","","8.27",",6","14.89",",,,6","1.65",",,,6","","","","","","","","","","","","","","","","","",""
"USC00244558","1897-05","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","","","","","","","","","","","11.3",",6","4",",6","2",",6","0",",6","","","","","0",",6","3",",6","0",",6","19",",6","0",",6","","","","","18970522","+,,6","","","","","","","18970520",",,6","18970529",",,6","0.0",",6,22,+","","","","","3.6",",,6,20,","31.7",",6,29,","","","115.9",",6","8.6",",,,6","","","","","","","","","14.96",",6","23.32",",,,6","6.60",",,,6","","","","","","","","","","","","","","","","","",""
